# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
6.999999999999999556e-01,1.500000000000000000e+00,1.000000000000000000e+00,1.999999964060975133e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.007623533999999488e-01
2.999999999999999889e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,6.007162597999999853e-01
5.014675934358550080e-01,8.135127856383806977e-01,7.804821504257595244e-01,7.076172211106668275e-01,3.000000000000000000e+00,2.000000000000000000e+00,5.975561523999999292e-01
2.999999999999999889e-01,1.500000000000000000e+00,1.000000000000000000e+00,1.435166445511526115e-09,3.000000000000000000e+00,7.685614766023188826e-01,6.006343017999999923e-01
6.919654908059469367e-01,1.500000000000000000e+00,7.332472294160479187e-01,1.975178402730946470e+00,3.000000000000000000e+00,1.558385759500680701e+00,5.979438966000000244e-01
5.532493071135827778e-01,9.839549560848378507e-01,7.598579721209576254e-01,1.702107875863221986e+00,2.997004690669097471e+00,1.824054711995403810e+00,5.508600344000000870e-01
6.151957174417216345e-01,1.500000000000000000e+00,1.000000000000000000e+00,4.269751574209137424e-01,3.000000000000000000e+00,2.000000000000000000e+00,6.005532716000000493e-01
2.999999999999999889e-01,1.123139332264236900e+00,1.000000000000000000e+00,5.859783179813162768e-01,3.000000000000000000e+00,5.079242879572539726e-01,6.005320313999999993e-01
6.999999999999999556e-01,5.000000065705132446e-01,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,5.000000134948983099e-01,6.007162597999999853e-01
6.999999999999999556e-01,1.500000000000000000e+00,1.000000000000000000e+00,8.633815306148699964e-01,3.000000000000000000e+00,9.976548012193472426e-01,6.009856688000000391e-01
6.905630003667025951e-01,5.000000000000000000e-01,1.000000000000000000e+00,3.238557550103015048e-01,3.000000000000000000e+00,1.245743786852761437e+00,6.007256590000001895e-01
3.840417019746562577e-01,1.246396885243178154e+00,7.899359275072286302e-01,4.557655914748482417e-01,3.000000000000000000e+00,1.679651737919030552e+00,5.980749268000001839e-01
3.027131477268232840e-01,5.612494579231498415e-01,5.425175573688881814e-01,1.562599769079837941e-01,3.000000000000000000e+00,1.633109241789163502e+00,5.991927978000001209e-01
3.197194429895879875e-01,9.220703424979879159e-01,7.879769695681789754e-01,2.031188736132906181e-01,2.978356629880493767e+00,1.706822150069886801e+00,5.510525880000000098e-01
6.999999999999999556e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.408599090031465328e-01,3.000000000000000000e+00,2.000000000000000000e+00,5.985795653999999022e-01
2.999999999999999889e-01,1.500000000000000000e+00,5.000000000000000000e-01,6.371998041623657683e-01,3.000000000000000000e+00,1.690918420632375740e+00,5.982983153999998915e-01
2.999999999999999889e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.930608677397025907e-01,3.000000000000000000e+00,2.000000000000000000e+00,5.984840331999998764e-01
3.307225530341546538e-01,5.000000000000000000e-01,1.000000000000000000e+00,5.389012436903999337e-01,3.000000000000000000e+00,6.240130201893651085e-01,6.005404054000000880e-01
3.509362359894120931e-01,1.500000000000000000e+00,1.000000000000000000e+00,5.244582782660909270e-01,3.000000000000000000e+00,1.378979323970613402e+00,6.005361083999998240e-01
