# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
5.207325210722981712e-01,1.775163077496478836e+00,5.278510645050875638e-01,1.011553514218150651e+00,1.623244074567780970e+01,2.656888783772907381e+00,7.896891357999999972e-01
8.279867648737158081e-01,7.163248727759731205e-01,9.309823385313368282e-01,2.800255862634180026e+00,1.326540905516936064e+01,6.660142639696695621e-01,7.870605226000000343e-01
8.913013511914585907e-01,7.544049271420719682e-01,8.586384566743815450e-01,2.070425551994377500e+00,2.492617728788236775e+01,1.894861604051374604e+00,7.880686768000000342e-01
3.013865770202417971e-01,6.157212636518009097e-01,6.676722931863584565e-01,2.610795305826667523e+00,2.212846767939776527e+01,7.197978868140522124e-01,7.531437744000000212e-01
5.884843266579440346e-01,8.921463622893927026e-01,6.796109655839950303e-01,2.697014057338244619e+00,1.118959267201165098e+01,2.724218870175739493e+00,8.099027344000000461e-01
7.727525820616610863e-01,1.476848765517494000e+00,7.164239061652987184e-01,2.648725894897855593e+00,2.351662401306274930e+01,1.771978662438459695e+00,7.922689453999999243e-01
3.211057125301376991e-01,1.991721417549445983e+00,6.689958489672274133e-01,2.563278141231375873e+00,1.857313218541594324e+01,1.655398677481513481e+00,7.959057129999999036e-01
6.587513381009703073e-01,1.629470888275137863e+00,6.052370681091572280e-01,2.758745082626898437e+00,2.022122874622822053e+01,1.957899177380521660e+00,7.981883544000000219e-01
8.999999950840500418e-01,8.964245374167754132e-01,9.510459534233410839e-01,2.010846177692732883e+00,1.269414391988833124e+01,1.589896552389418627e+00,8.011187741999999945e-01
4.582710642224767095e-01,1.154157497714432878e+00,9.905929667827249041e-01,2.454327067192118683e+00,2.009417027149144985e+01,1.597902646852626951e+00,7.979786134000000919e-01
3.003251503278365764e-01,1.625082101777503896e+00,9.175210878418060823e-01,2.220010309422030037e+00,2.301855473484256009e+01,2.059937160888725582e+00,8.026458010000001586e-01
8.264380084947968719e-01,1.766109758844612632e+00,9.463964348400799587e-01,1.619860398862697171e+00,2.453459283536493274e+01,1.523579869728216352e+00,7.913010742000001763e-01
3.720121704866743984e-01,1.184165323233309364e+00,5.251816339109750542e-01,1.347046334365677112e+00,2.455136692934610565e+01,2.152325303292017100e+00,7.828974366000002183e-01
3.794650421082181868e-01,1.668386045190711986e+00,9.528043013009557249e-01,1.233449119962464646e+00,1.830775238353787771e+01,2.382517077679024542e+00,7.989342042000000532e-01
3.626686419121219473e-01,1.554512379763328900e+00,8.434718773274320069e-01,2.758083365020441491e+00,1.622606294410282146e+01,1.382649225172566165e+00,7.957831298000000997e-01
8.749644448854582146e-01,1.951122945540061604e+00,5.980614861342947730e-01,2.671300164276095401e+00,1.348013354571172862e+01,2.646732041115226419e+00,8.056866941999999421e-01
3.343462053988435212e-01,1.531995084213369829e+00,6.120370885595706190e-01,3.998737893680773259e-01,1.277427394432851671e+01,2.278277696920708362e+00,7.865985596000000246e-01
6.797386775384335333e-01,1.885058803233548019e+00,7.812344137851190418e-01,2.705024633189955896e+00,2.242780596483743594e+01,2.436000596194528356e+00,8.038050048000000558e-01
7.983076500421657506e-01,1.364280777589042870e+00,6.350046409534273462e-01,2.279201278729118485e+00,2.265694489758852725e+01,2.120982118731267185e+00,7.973479980000000022e-01
3.076516596085513422e-01,1.457383838303524470e+00,9.026557494542526427e-01,6.502184710332505890e-01,1.594772391333584238e+01,2.666223726743272238e+00,7.973984376000000651e-01
3.825826672106478199e-01,1.001843042192862576e+00,5.324286834022451398e-01,5.356579017987044278e-01,1.730413684054996892e+01,2.824311732923139306e+00,7.759471191999998130e-01
8.138169268906904064e-01,1.162357377668421066e+00,8.302168982307289724e-01,1.918836235772982013e+00,2.078042130292543632e+01,1.542349347744307098e+00,7.876797850000000212e-01
6.951602418277929019e-01,9.668778542101336138e-01,9.527160313579734474e-01,1.157006549538665885e+00,2.259957665591372233e+01,2.204335204688883110e+00,7.879576905999999825e-01
4.822286262763037512e-01,1.606056244222102247e+00,6.590758764588940943e-01,1.811079806529459102e+00,1.668574604181288734e+01,2.551512969052775137e+00,7.975282472000001510e-01
8.567667267870566761e-01,9.617390081272544355e-01,5.074253621917107493e-01,2.789302129062585678e+00,2.275313521703402131e+01,2.409055511638889868e+00,7.981875244000000702e-01
8.116140060144676482e-01,1.784669522848686629e+00,6.966399324240041269e-01,2.243033320404904885e+00,1.973481201370517013e+01,1.031094187902438897e+00,7.760735349999999810e-01
8.976436797530700229e-01,5.711306890776701728e-01,9.319088765571872379e-01,1.569257691261923160e+00,1.901178795208589634e+01,9.059458189722936483e-01,7.601135740000002361e-01
4.383927900210999873e-01,7.697036728539508044e-01,7.555316017838289433e-01,1.287455349230731017e+00,2.145985905893635248e+01,1.904725919339153473e+00,7.791429198000000556e-01
7.687984675751696750e-01,1.626447189863378107e+00,9.565811459087276702e-01,1.977045409013408861e+00,2.378545586508166565e+01,1.733664569235960462e+00,7.971569824000001026e-01
6.192194511250419531e-01,1.921687996484363614e+00,7.738370299148844556e-01,9.464186126782716535e-01,1.411079137509990034e+01,1.127135332509852095e+00,7.792134034000001153e-01
