# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
4.540108952873970205e-01,5.966723105573383812e-01,5.919396099599696370e-01,1.365564020902521492e+00,1.610952666831071411e+01,7.675432702658913087e-01,7.367727784000001057e-01
5.456475895064255566e-01,1.462183759307451147e+00,6.769322271844904204e-01,4.240676948140527092e-01,1.204951466244704505e+01,1.919737940970574153e+00,7.858303467999999681e-01
4.564591646131084812e-01,1.096037725296084231e+00,5.084470785742166710e-01,4.126566223367016395e-01,1.403896937728396566e+01,1.192118927009480522e+00,7.423616943999999940e-01
3.099406504111459904e-01,8.646098801449781934e-01,9.698511491223897885e-01,9.141005880293298080e-01,1.338265916463915772e+01,1.913320977299067582e+00,7.955916746000000206e-01
5.025376213468537578e-01,6.206803203836939176e-01,7.173126691763485052e-01,1.164560006255261015e+00,1.149852413043155153e+01,1.804086934335587866e+00,7.893885500000000777e-01
5.973771216132160999e-01,1.031850208217582665e+00,8.933811830344589033e-01,1.134466121792106152e+00,1.709007560299578188e+01,6.261468777931057383e-01,7.537883787999999363e-01
5.394466548165578468e-01,8.094159151560996746e-01,9.949568111014666094e-01,1.667637496681179110e+00,1.896272076460273937e+01,1.497631483392218410e+00,7.901909665999998778e-01
6.745162548727228202e-01,6.500346218842918411e-01,7.595769906614913136e-01,4.648227642853630659e-01,1.456807195687605727e+01,1.180038562695131743e+00,7.572118163999999041e-01
6.144947388482197015e-01,1.271560471906147516e+00,8.271305261727734948e-01,7.348934804208573368e-01,1.778925732098299761e+01,1.590524211282667855e+00,7.750201904000000308e-01
5.322088748315663143e-01,8.840688935940974602e-01,8.652497589161858293e-01,1.797800580745407828e+00,1.862358397756173645e+01,1.228822730212141057e+00,7.830421142000000279e-01
4.803432148419674030e-01,6.528444433024702676e-01,9.514093831745036312e-01,1.756816167271577189e+00,1.846724864717084813e+01,5.180893292477165568e-01,7.559365723999998954e-01
6.940504559413629426e-01,1.125415722680115582e+00,6.897740161585704799e-01,9.118825775107770593e-01,1.409864439096137545e+01,1.770695653508864265e+00,7.863130615999998074e-01
5.657280793981673828e-01,1.305111662568266384e+00,7.695474106358878297e-01,2.152101551576961480e-01,1.253566131684553220e+01,1.937589866626573398e+00,7.847162108000002023e-01
6.232035046988605442e-01,9.790527988662935943e-01,9.006835217717954478e-01,1.900547865747658882e+00,1.212228645890361989e+01,8.996738470992646786e-01,7.914144774000001492e-01
6.327000259840902530e-01,5.078623048657538996e-01,7.139163110274622248e-01,5.778402820319734623e-01,1.890555247814756967e+01,1.968631468806639528e+00,7.665909180000001211e-01
