booster,eta,max_depth,gamma,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,lambda,best_nrounds,cv_mean,cv_sd
gbtree,0.1,10,1.38085231232,0.967430434808,2.16532178195,0.682634359747,0.332256552533,0.371955564466,3.22020231351,299,1150.439148,4.14405884479
gbtree,0.1,19,4.88354841772,0.42343915215,0.219710059725,0.975298383189,0.585622276951,0.835385491629,0.645211666479,3252,1146.033661,6.56718264769
gbtree,0.1,14,1.68131651184,0.71597154761,2.84076972282,0.928922094654,0.505999172645,0.657778608296,1.2351426926,223,1150.1564635,8.07648082784
gbtree,0.1,12,0.238123020436,1.38887253089,1.3876099038,0.864807938764,0.35452488373,0.462314384489,0.998914274647,163,1160.8229065,8.0522248643
gbtree,0.1,17,2.9091720537,0.151067412311,0.0869269005112,0.734237242631,0.769819378464,0.380934029482,4.64623792347,1907,1145.57580575,6.74608680826
gbtree,0.1,13,2.70204157977,1.90845663369,1.02804488852,0.389383006766,0.696293378074,0.77808092888,0.889360362244,226,1157.8513795,6.59717512084
gbtree,0.1,16,0.885234338605,0.872836995386,2.05510193918,0.714680213096,0.853467434053,0.588315009415,1.35996247571,131,1172.23489375,7.04915241137
gbtree,0.1,6,4.26026884265,0.361808268582,0.633731516382,0.944959957397,0.305179745347,0.306914536123,4.16699959568,3050,1151.268219,5.51236353062
gbtree,0.1,17,0.696950266315,0.98630378818,4.39546860319,0.687051881343,0.345043313372,0.629168708405,1.40966025248,108,1171.1275635,6.93010817047
gbtree,0.1,8,0.274883163874,1.28171536041,2.35695399419,0.555099903412,0.644128462884,0.741713124468,2.73577032898,184,1153.651733,5.62922548877
gbtree,0.1,11,2.30118993492,1.76280999583,4.42566038772,0.955959671129,0.548070747149,0.583122338213,1.23487595465,413,1145.30435175,6.08151608673
gbtree,0.1,15,4.78657473649,0.88827383489,3.51935632046,0.692301882443,0.938045802364,0.688072491571,2.71379554743,909,1146.82797225,5.08242420473
gbtree,0.1,6,3.97341662078,0.871085943968,1.52932818462,0.473531678042,0.596776354214,0.999330232069,4.20124104126,1958,1149.1400755,5.69164266089
gbtree,0.1,16,4.50084815243,0.536336424089,3.68613578878,0.629229193264,0.681969998914,0.536620694586,0.91416991115,801,1147.965973,6.27061677683
gbtree,0.1,10,1.65278964567,0.924229099026,3.28174354431,0.434557939989,0.965944940214,0.698337957245,0.942547711238,138,1160.1360475,5.89604423996
gbtree,0.1,17,2.36504888604,1.24013510023,2.32073208529,0.718317566636,0.933788743835,0.849384917104,4.85278866332,204,1150.701416,5.03925538077
gbtree,0.1,5,1.56591077586,1.98705281821,1.13829603712,0.415673533361,0.976002659664,0.444119447901,0.350873994109,568,1154.53005975,5.59274383155
gbtree,0.1,16,4.69473349648,0.0371580244271,0.817237121778,0.693163114359,0.814735429433,0.995015262472,4.83437010097,1632,1146.305359,5.60736760413
gbtree,0.1,14,4.23340233633,1.24494729557,2.00719922639,0.597483913738,0.514475203981,0.5125532489,1.07813330271,898,1148.28948975,6.26992198727
gbtree,0.1,3,0.613525665827,1.79033029059,3.63402098086,0.913410958572,0.770404464204,0.868453302469,4.82260884554,2368,1150.20104975,6.02443924524
gbtree,0.1,6,3.26793264257,1.94251445472,3.35480141054,0.589870959828,0.78563295518,0.755781042013,1.44774376367,1049,1149.35418675,5.96291365544
gbtree,0.1,6,3.27526254953,0.178216600829,4.03468475385,0.827848224823,0.972437755258,0.853342913748,4.09394920272,1432,1145.73211675,5.8287397142
gbtree,0.1,3,0.390404272152,1.38047355051,4.20085480838,0.912489299193,0.401893011041,0.519856217006,3.03122668824,2846,1151.61431875,5.12165877816
gbtree,0.1,10,3.36584057162,1.99829384387,1.48628888228,0.696810266575,0.884577948444,0.539721776973,1.33729377504,700,1148.3474425,5.49814778207
gbtree,0.1,9,3.98666177048,1.02139042969,2.4204608193,0.568580998864,0.706875009583,0.824804188848,3.38373969808,665,1148.130005,6.05304567814
gbtree,0.1,7,3.39396474609,0.213130228147,0.501839558264,0.726779148927,0.448971246972,0.690007925453,0.123086332769,875,1147.35144025,5.62534927454
gbtree,0.1,4,0.0871914695775,0.929116263448,0.750765159343,0.986966559835,0.457373330079,0.435081950811,3.275391359,1365,1148.769165,5.41492000065
gbtree,0.1,19,3.45643061751,1.43694389192,2.05939742008,0.749093263286,0.715489846973,0.84681327232,2.65931424005,453,1146.3664855,5.69218458147
gbtree,0.1,9,2.35715323059,1.81876590103,0.899512791959,0.474997904012,0.377162538427,0.312465983696,0.446666363781,532,1153.33404525,7.26980436234
