# colsample_bytree, min_child_weight, subsample, alpha, max_depth, gamma, target
7.458096501204571904e-01,1.297575372176963393e+00,6.237250887167685720e-01,3.864096511225222352e-01,1.645059859408480207e+01,1.674191878100675712e+00,7.628861815999998797e-01
3.992025248903977031e-01,1.291441704770668775e+00,8.374531807491305546e-01,4.099873949834399456e-01,1.478295615946210440e+01,1.361033764711953253e+00,7.660021484000001379e-01
4.961244554336512458e-01,6.014198425970262996e-01,9.713125262147147554e-01,1.328673699452772361e+00,1.952619896395551535e+01,1.379998771827641857e+00,7.730870362000000773e-01
6.723203289706857211e-01,1.489035636543039720e+00,7.487768936782359663e-01,2.423482303773493829e+00,1.445491302092626285e+01,2.825843561347209931e+00,8.056134278000000037e-01
3.077392286977200797e-01,1.173742146047474844e+00,9.782589199294632332e-01,1.765620594884438344e+00,2.066559450341581083e+01,5.554795665229129709e-01,7.542940186000001157e-01
3.612762339495990682e-01,1.536114603021251801e+00,8.260685223658250642e-01,2.782362097147182745e+00,1.170696634992667207e+01,2.910202283705579873e+00,8.097699950000001312e-01
4.761186673910048905e-01,1.509067235639568016e+00,1.000000000000000000e+00,2.882149017673727442e+00,2.250207360193358141e+01,2.950311051735897916e+00,7.908345945999999405e-01
3.288548544394018225e-01,1.864358106867807008e+00,5.746104914859193613e-01,1.830531819396461257e+00,1.001763283857824405e+01,2.218766620963738667e+00,8.095051267999999745e-01
5.320479017467699689e-01,2.000000000000000000e+00,9.999999984681597898e-01,2.816192763282022948e+00,1.164822005656637671e+01,2.000832168412620682e+00,7.973613282000001634e-01
3.000000000011883161e-01,1.601535534735929467e+00,6.933479464231455669e-01,1.252303305327519434e+00,1.035653845615834001e+01,2.995454297349317230e+00,8.048136231999999390e-01
3.184093478728516891e-01,1.902767646510380661e+00,1.000000000000000000e+00,2.672321712830687090e+00,1.632388257143502130e+01,2.489492581728659726e+00,7.889972411999999213e-01
2.999999999999999889e-01,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.500000000000000000e+01,2.999999999997664535e+00,8.005827882000000617e-01
9.000000000000000222e-01,5.000002461040339297e-01,5.000000351298731216e-01,3.000000000000000000e+00,1.333742422944544437e+01,3.000000000000000000e+00,7.932658447999997309e-01
8.994070377422302975e-01,5.113864388301634367e-01,5.153611305830035905e-01,2.030432590476880073e+00,2.499669773325151922e+01,2.814831385096210781e+00,7.877763671999998829e-01
5.219334581325718592e-01,8.710925652040087952e-01,9.255507258031527851e-01,2.046907497394421238e+00,1.206085974602781441e+01,2.991791415820602484e+00,8.034729737999998234e-01
5.057255135663532020e-01,1.834805160925699008e+00,9.803048822938688067e-01,2.979131020847368028e+00,1.411778637207102705e+01,1.214727631238799122e+00,8.025939698000001954e-01
2.999999999999999889e-01,1.491396353368326766e+00,8.865054053505463383e-01,2.741398435483231477e+00,1.364162177442105239e+01,1.811591710293499302e+00,8.068648924000001443e-01
2.999999999999999889e-01,1.022477874505365758e+00,5.000000000000000000e-01,2.731133108936500076e+00,1.098196125479069174e+01,2.458875140047497521e+00,8.052728517999998559e-01
7.432716870790636587e-01,1.999999981580065089e+00,9.999999938600216964e-01,2.999999963160130179e+00,1.377390902532400752e+01,2.999999969300108482e+00,7.875405272000000068e-01
7.270004031767222097e-01,5.460878833803679555e-01,9.808166287728750099e-01,2.449009972578739092e+00,1.492447036989075748e+01,1.972981508720831334e+00,7.949824466000002809e-01
8.634488596692654339e-01,5.881196771945064183e-01,8.242186045716024534e-01,1.247861037086888780e+00,1.802321924597549696e+01,2.991905228515884474e+00,7.940131836000000609e-01
3.128649714390667746e-01,1.888326974288851545e+00,9.115059272970373883e-01,2.542282578285807393e+00,1.025214041620263217e+01,2.983869479478069575e+00,8.117007569999998839e-01
2.999999999999999889e-01,7.418764832370414730e-01,5.769808018566099372e-01,2.223542828149877693e+00,1.353473031054894093e+01,2.946654242464987306e+00,7.947626953999999966e-01
3.792904130381642980e-01,1.668196078264330362e+00,9.527886047916755974e-01,1.233501916829925937e+00,1.830750176185177835e+01,2.382493989429604220e+00,8.007271971999998517e-01
5.971093213618238194e-01,1.648104341048038712e+00,5.000000000000000000e-01,2.993507216982722596e+00,2.019913968488784661e+01,2.134125064431416696e+00,8.019890377999999709e-01
3.816131660451820284e-01,2.000000000000000000e+00,8.707662566319870345e-01,2.577424669969999638e+00,1.851711635510832465e+01,1.701032063077335454e+00,8.016560057999999600e-01
3.369208416473158940e-01,5.896796113307194442e-01,7.600335363032284519e-01,1.221096764486165220e+00,1.064077787079486725e+01,2.318104102582042803e+00,8.027606201999999413e-01
5.316348918646467414e-01,1.748998594205120938e+00,6.105764952139161039e-01,1.589260257234574425e+00,1.545210245171205443e+01,2.995821130885664818e+00,8.007996582000000974e-01
7.808359832129017075e-01,1.218830771816916680e+00,7.572802482580562877e-01,2.863362847023012137e+00,1.142967086663436227e+01,2.536726581855738072e+00,8.091048095999999745e-01
2.999999999999999889e-01,1.490021531123890464e+00,9.360589729918389335e-01,2.220401722121644994e+00,1.115411133220296236e+01,1.656796331625229657e+00,8.096904785999999854e-01
4.897776896831402826e-01,1.613708429299492320e+00,8.404475708806681267e-01,2.486380873696164340e+00,1.110108961591571308e+01,2.653940313197181045e+00,8.099014650000001536e-01
8.247846406682320941e-01,7.163145686157421643e-01,9.308852429234786285e-01,2.801768996529929723e+00,1.326597241140126293e+01,6.665534109893240799e-01,7.867437255999998325e-01
